Account_Number,Debit_Card_number
5.43593E+15,519280
5.57274E+15,931455
5.12088E+15,341100
5.43859E+15,634495
5.37984E+15,022835
5.19309E+15,731921
5.29511E+15,041190
5.29656E+15,649826
5.39921E+15,015321
5.5909E+15,642875
5.58388E+15,374068
5.51585E+15,992780
5.40256E+15,839945
5.45129E+15,600542
5.35408E+15,795213
5.33129E+15,470250
5.44355E+15,287928
5.45387E+15,445517
5.32034E+15,669457
5.17317E+15,362054
5.27297E+15,073829
5.23303E+15,607381
5.19242E+15,818183
5.26682E+15,646568
5.54189E+15,049269
5.59783E+15,809031
5.50673E+15,948755
5.21178E+15,558085
5.12286E+15,750334
5.42259E+15,073875
5.24686E+15,912076
5.52315E+15,688052
5.41355E+15,289250
5.28728E+15,408732
5.33399E+15,682068
5.17497E+15,325551
5.42549E+15,218289
5.19965E+15,352051
5.24415E+15,304789
5.11899E+15,944424
5.20861E+15,000745
5.59799E+15,170085
5.21491E+15,697000
5.34633E+15,163116
5.29166E+15,067644
5.24125E+15,837676
5.51983E+15,148753
5.15732E+15,338842
5.48996E+15,100755
5.48911E+15,402485
5.58899E+15,761208
5.12366E+15,855875
5.13689E+15,334899
5.22086E+15,050301
5.13054E+15,841053
5.10223E+15,070232
5.55436E+15,569567
5.43986E+15,285845
5.31086E+15,907079
5.12735E+15,413098
5.52871E+15,162288
5.28326E+15,738299
5.54925E+15,666151
5.2668E+15,613951
5.19175E+15,559236
5.17919E+15,401201
5.35645E+15,828051
5.50605E+15,149531
5.19764E+15,022412
5.48052E+15,876708
5.10153E+15,272756
5.12909E+15,120201
5.55847E+15,170599
5.31603E+15,962172
5.18561E+15,372455
5.30618E+15,967292
5.13861E+15,156744
5.52918E+15,898951
5.14233E+15,904667
5.29565E+15,819982
5.51685E+15,449422
5.34252E+15,907477
5.16679E+15,433234
5.47116E+15,258724
5.51033E+15,549456
5.50933E+15,096863
5.2983E+15,496767
5.26903E+15,648560
5.10219E+15,407794
5.358E+15,764484
5.35899E+15,977210
5.2215E+15,027830
5.18903E+15,114697
5.23525E+15,544134
5.19227E+15,111938
5.43205E+15,759337
5.13392E+15,521540
5.40563E+15,163870
5.21621E+15,007386
5.57094E+15,218096
