Account_Number,Balance,Recurring_Status
5.43593E+15,74469,0
5.57274E+15,83778,1
5.12088E+15,1676,1
5.43859E+15,46821,0
5.37984E+15,82911,0
5.19309E+15,33597,0
5.29511E+15,8871,0
5.29656E+15,66356,0
5.39921E+15,36205,1
5.5909E+15,10200,0
5.58388E+15,13361,1
5.51585E+15,6888,1
5.40256E+15,43956,1
5.45129E+15,26964,0
5.35408E+15,46296,0
5.33129E+15,81497,0
5.44355E+15,44420,0
5.45387E+15,68246,0
5.32034E+15,33652,1
5.17317E+15,6316,0
5.27297E+15,53381,1
5.23303E+15,68954,0
5.19242E+15,31951,1
5.26682E+15,82807,0
5.54189E+15,24558,1
5.59783E+15,83717,1
5.50673E+15,63260,1
5.21178E+15,5233,0
5.12286E+15,14122,1
5.42259E+15,21630,1
5.24686E+15,27879,0
5.52315E+15,50951,1
5.41355E+15,80803,1
5.28728E+15,32577,0
5.33399E+15,49904,0
5.17497E+15,11756,1
5.42549E+15,35404,0
5.19965E+15,14748,0
5.24415E+15,81940,0
5.11899E+15,42387,1
5.20861E+15,78192,0
5.59799E+15,60669,0
5.21491E+15,24060,0
5.34633E+15,75049,0
5.29166E+15,68996,0
5.24125E+15,2636,0
5.51983E+15,33502,1
5.15732E+15,25521,1
5.48996E+15,78837,0
5.48911E+15,30262,1
5.58899E+15,79786,1
5.12366E+15,53172,1
5.13689E+15,4573,0
5.22086E+15,71564,1
5.13054E+15,7660,1
5.10223E+15,79177,0
5.55436E+15,21337,1
5.43986E+15,72445,1
5.31086E+15,59738,0
5.12735E+15,88701,0
5.52871E+15,39489,1
5.28326E+15,44862,1
5.54925E+15,50474,1
5.2668E+15,72662,1
5.19175E+15,9613,0
5.17919E+15,8574,0
5.35645E+15,24579,1
5.50605E+15,84643,0
5.19764E+15,70759,0
5.48052E+15,67522,0
5.10153E+15,82403,0
5.12909E+15,29990,0
5.55847E+15,10424,1
5.31603E+15,66765,1
5.18561E+15,51699,1
5.30618E+15,87582,1
5.13861E+15,96347,0
5.52918E+15,7134,0
5.14233E+15,64130,0
5.29565E+15,47592,0
5.51685E+15,88486,0
5.34252E+15,38104,0
5.16679E+15,45822,0
5.47116E+15,89652,1
5.51033E+15,45530,1
5.50933E+15,69815,0
5.2983E+15,15968,0
5.26903E+15,85042,0
5.10219E+15,19009,0
5.358E+15,2576,1
5.35899E+15,83741,1
5.2215E+15,90620,0
5.18903E+15,82625,0
5.23525E+15,36435,0
5.19227E+15,40958,1
5.43205E+15,50487,1
5.13392E+15,37761,0
5.40563E+15,61248,0
5.21621E+15,56323,1
5.57094E+15,65353,1
